Path [0001]	:	['JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.453, -1.449, -1.768, 2.778, -1.68, -1.927]

Path [0066]	:	['JAK', 'BKK', 'TOK', 'KOR', 'PEK', 'TPE', 'HKG']
Sentiment	:	[3.029, -1.453, -1.449, -1.768, 2.778, -1.927, -1.68]

Path [0067]	:	['JAK', 'BKK', 'TOK', 'PEK', 'HKG', 'TPE', 'KOR']
Sentiment	:	[3.029, -1.453, -1.449, 2.778, -1.68, -1.927, -1.768]

Path [0068]	:	['JAK', 'BKK', 'TOK', 'PEK', 'HKG', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.453, -1.449, 2.778, -1.68, -1.768, -1.927]

Path [0069]	:	['JAK', 'BKK', 'TOK', 'PEK', 'TPE', 'HKG', 'KOR']
Sentiment	:	[3.029, -1.453, -1.449, 2.778, -1.927, -1.68, -1.768]

Path [0070]	:	['JAK', 'BKK', 'TOK', 'PEK', 'TPE', 'KOR', 'HKG']
Sentiment	:	[3.029, -1.453, -1.449, 2.778, -1.927, -1.768, -1.68]

Path [0071]	:	['JAK', 'BKK', 'TOK', 'PEK', 'KOR', 'HKG', 'TPE']
Sentiment	:	[3.029, -1.453, -1.449, 2.778, -1.768, -1.68, -1.927]

Path [0072]	:	['JAK', 'BKK', 'TOK', 'PEK', 'KOR', 'TPE', 'HKG']
Sentiment	:	[3.029, -1.453, -1.449, 2.778, -1.768, -1.927, -1.68]

Path [0073]	:	['JAK', 'BKK', 'KOR', 'HKG', 'TPE', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.453, -1.768, -1.68, -1.927, -1.449, 2.778]

Path [0074]	:	['JAK', 'BKK', 'KOR', 'HKG', 'TPE', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.453, -1.768, -1.68, -1.927, 2.778, -1.449]

Path [0075]	:	['JAK', 'BKK', 'KOR', 'HKG', 'TOK', 'TPE', 'PEK']
Sentiment	:	[3.029, -1.453, -1.768, -1.68, -1.449, -1.927, 2.778]

Path [0076]	:	['JAK', 'BKK', 'KOR', 'HKG', 'TOK', 'PEK', 'TPE']
Sentiment	:	[3.029, -1.453, -1.768, -1.68, -1.449, 2.778, -1.927]

