Path [0127]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TOK', 'TPE', 'KOR', 'PEK', 'KUL']
Distance	:	19465.008079274252 km

Path [0128]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TOK', 'TPE', 'PEK', 'KOR', 'KUL']
Distance	:	19934.433508056594 km

Path [0129]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TOK', 'KOR', 'TPE', 'PEK', 'KUL']
Distance	:	19314.436290179554 km

Path [0130]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TOK', 'KOR', 'PEK', 'TPE', 'KUL']
Distance	:	17663.54314837148 km

Path [0131]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TOK', 'PEK', 'TPE', 'KOR', 'KUL']
Distance	:	20472.86563133188 km

Path [0132]	:	['KUL', 'JAK', 'HKG', 'BKK', 'TOK', 'PEK', 'KOR', 'TPE', 'KUL']
Distance	:	18352.54706074146 km

Path [0133]	:	['KUL', 'JAK', 'HKG', 'BKK', 'KOR', 'TPE', 'TOK', 'PEK', 'KUL']
Distance	:	19740.205040778466 km

Path [0134]	:	['KUL', 'JAK', 'HKG', 'BKK', 'KOR', 'TPE', 'PEK', 'TOK', 'KUL']
Distance	:	20289.960298606176 km

Path [0135]	:	['KUL', 'JAK', 'HKG', 'BKK', 'KOR', 'TOK', 'TPE', 'PEK', 'KUL']
Distance	:	19051.201128408484 km

Path [0136]	:	['KUL', 'JAK', 'HKG', 'BKK', 'KOR', 'TOK', 'PEK', 'TPE', 'KUL']
Distance	:	17938.740109875693 km

Path [0137]	:	['KUL', 'JAK', 'HKG', 'BKK', 'KOR', 'PEK', 'TPE', 'TOK', 'KUL']
Distance	:	19751.528175330892 km

Path [0138]	:	['KUL', 'JAK', 'HKG', 'BKK', 'KOR', 'PEK', 'TOK', 'TPE', 'KUL']
Distance	:	18089.31189897039 km

Path [0139]	:	['KUL', 'JAK', 'HKG', 'BKK', 'PEK', 'TPE', 'TOK', 'KOR', 'KUL']
Distance	:	18901.094960718212 km

Path [0140]	:	['KUL', 'JAK', 'HKG', 'BKK', 'PEK', 'TPE', 'KOR', 'TOK', 'KUL']
Distance	:	18981.424789763583 km

Path [0141]	:	['KUL', 'JAK', 'HKG', 'BKK', 'PEK', 'TOK', 'TPE', 'KOR', 'KUL']
Distance	:	19590.098873088195 km

Path [0142]	:	['KUL', 'JAK', 'HKG', 'BKK', 'PEK', 'TOK', 'KOR', 'TPE', 'KUL']
Distance	:	17319.20851340308 km

Path [0143]	:	['KUL', 'JAK', 'HKG', 'BKK', 'PEK', 'KOR', 'TPE', 'TOK', 'KUL']
Distance	:	19131.99657885828 km

Path [0144]	:	['KUL', 'JAK', 'HKG', 'BKK', 'PEK', 'KOR', 'TOK', 'TPE', 'KUL']
Distance	:	16780.776390127794 km

Path [0145]	:	['KUL', 'JAK', 'HKG', 'TPE', 'BKK', 'TOK', 'KOR', 'PEK', 'KUL']
Distance	:	18703.964948546454 km

Path [0146]	:	['KUL', 'JAK', 'HKG', 'TPE', 'BKK', 'TOK', 'PEK', 'KOR', 'KUL']
Distance	:	19862.394289698776 km

Path [0147]	:	['KUL', 'JAK', 'HKG', 'TPE', 'BKK', 'KOR', 'TOK', 'PEK', 'KUL']
Distance	:	18979.161910050665 km

Path [0148]	:	['KUL', 'JAK', 'HKG', 'TPE', 'BKK', 'KOR', 'PEK', 'TOK', 'KUL']
Distance	:	19679.488956973073 km

Path [0149]	:	['KUL', 'JAK', 'HKG', 'TPE', 'BKK', 'PEK', 'TOK', 'KOR', 'KUL']
Distance	:	18829.055742360393 km

Path [0150]	:	['KUL', 'JAK', 'HKG', 'TPE', 'BKK', 'PEK', 'KOR', 'TOK', 'KUL']
Distance	:	18370.95344813048 km

Path [0151]	:	['KUL', 'JAK', 'HKG', 'TPE', 'TOK', 'BKK', 'KOR', 'PEK', 'KUL']
Distance	:	20787.468314928723 km

Path [0152]	:	['KUL', 'JAK', 'HKG', 'TPE', 'TOK', 'BKK', 'PEK', 'KOR', 'KUL']
Distance	:	20637.362147238455 km

Path [0153]	:	['KUL', 'JAK', 'HKG', 'TPE', 'TOK', 'KOR', 'BKK', 'PEK', 'KUL']
Distance	:	19754.129767590348 km

Path [0154]	:	['KUL', 'JAK', 'HKG', 'TPE', 'TOK', 'KOR', 'PEK', 'BKK', 'KUL']
Distance	:	13875.440442360572 km

Path [0155]	:	['KUL', 'JAK', 'HKG', 'TPE', 'TOK', 'PEK', 'BKK', 'KOR', 'KUL']
Distance	:	20912.55910874267 km

Path [0156]	:	['KUL', 'JAK', 'HKG', 'TPE', 'TOK', 'PEK', 'KOR', 'BKK', 'KUL']
Distance	:	15183.975951203167 km

Path [0157]	:	['KUL', 'JAK', 'HKG', 'TPE', 'KOR', 'BKK', 'TOK', 'PEK', 'KUL']
Distance	:	21325.900438204015 km

Path [0158]	:	['KUL', 'JAK', 'HKG', 'TPE', 'KOR', 'BKK', 'PEK', 'TOK', 'KUL']
Distance	:	20992.88893778804 km

Path [0159]	:	['KUL', 'JAK', 'HKG', 'TPE', 'KOR', 'TOK', 'BKK', 'PEK', 'KUL']
Distance	:	20017.364929361414 km

Path [0160]	:	['KUL', 'JAK', 'HKG', 'TPE', 'KOR', 'TOK', 'PEK', 'BKK', 'KUL']
Distance	:	14413.872565635857 km

Path [0161]	:	['KUL', 'JAK', 'HKG', 'TPE', 'KOR', 'PEK', 'BKK', 'TOK', 'KUL']
Distance	:	20717.691976283826 km

Path [0162]	:	['KUL', 'JAK', 'HKG', 'TPE', 'KOR', 'PEK', 'TOK', 'BKK', 'KUL']
Distance	:	15447.211112974237 km

Path [0163]	:	['KUL', 'JAK', 'HKG', 'TPE', 'PEK', 'BKK', 'TOK', 'KOR', 'KUL']
Distance	:	20486.790358143757 km

Path [0164]	:	['KUL', 'JAK', 'HKG', 'TPE', 'PEK', 'BKK', 'KOR', 'TOK', 'KUL']
Distance	:	20303.885025418058 km

Path [0165]	:	['KUL', 'JAK', 'HKG', 'TPE', 'PEK', 'TOK', 'BKK', 'KOR', 'KUL']
Distance	:	21795.32586698635 km

Path [0166]	:	['KUL', 'JAK', 'HKG', 'TPE', 'PEK', 'TOK', 'KOR', 'BKK', 'KUL']
Distance	:	15033.404162108469 km

Path [0167]	:	['KUL', 'JAK', 'HKG', 'TPE', 'PEK', 'KOR', 'BKK', 'TOK', 'KUL']
Distance	:	21337.22357275644 km

Path [0168]	:	['KUL', 'JAK', 'HKG', 'TPE', 'PEK', 'KOR', 'TOK', 'BKK', 'KUL']
Distance	:	14758.207200604254 km

